DeviceTag: Xsens DOT5D,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 17:06:50.309,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
5258254,-0.2961,5.4325,-60.1583,0.0053,0.0029,0.0642,0
5258421,-0.2954,5.4316,-60.1559,-0.0046,-0.0075,0.0470,0
5258588,-0.2951,5.4313,-60.1548,0.0071,-0.0022,0.0628,0
5258754,-0.2946,5.4320,-60.1518,-0.0090,0.0161,0.0653,0
5258921,-0.2934,5.4327,-60.1517,0.0136,0.0071,0.0633,0
5259088,-0.2939,5.4329,-60.1501,-0.0032,0.0011,0.0511,0
5259254,-0.2938,5.4325,-60.1487,0.0046,-0.0232,0.0512,0
5259421,-0.2941,5.4332,-60.1471,0.0008,-0.0062,0.0574,0
5259588,-0.2951,5.4352,-60.1472,-0.0055,0.0191,0.0747,0
5259754,-0.2954,5.4372,-60.1468,0.0135,0.0286,0.0295,0
5259921,-0.2956,5.4385,-60.1459,0.0158,0.0021,0.0418,0
5260088,-0.2946,5.4382,-60.1445,0.0242,-0.0229,0.0631,0
5260254,-0.2967,5.4386,-60.1433,-0.0115,0.0019,0.0551,0
5260421,-0.2968,5.4387,-60.1424,-0.0089,-0.0065,0.0599,0
5260588,-0.2967,5.4371,-60.1418,-0.0140,0.0037,0.0486,0
5260754,-0.2980,5.4361,-60.1392,0.0090,0.0106,0.0382,0
5260921,-0.2979,5.4353,-60.1377,0.0093,-0.0140,0.0616,0
5261088,-0.2978,5.4357,-60.1366,0.0074,-0.0055,0.0477,0
5261254,-0.2982,5.4370,-60.1356,-0.0033,0.0173,0.0580,0
5261421,-0.2986,5.4368,-60.1350,-0.0045,0.0053,0.0474,0
5261588,-0.3002,5.4363,-60.1346,0.0028,0.0012,0.0561,0
5261754,-0.2988,5.4353,-60.1341,-0.0112,0.0068,0.0475,0
5261921,-0.2991,5.4357,-60.1341,0.0045,0.0010,0.0528,0
5262088,-0.2992,5.4354,-60.1329,0.0078,0.0099,0.0614,0
5262254,-0.3013,5.4361,-60.1338,0.0043,-0.0026,0.0584,0
5262421,-0.3005,5.4357,-60.1331,-0.0085,0.0028,0.0519,0
5262588,-0.3008,5.4376,-60.1323,-0.0182,0.0149,0.0467,0
5262754,-0.3006,5.4366,-60.1318,0.0038,0.0074,0.0718,0
5262921,-0.3012,5.4359,-60.1313,-0.0074,0.0103,0.0432,0
5263088,-0.3002,5.4351,-60.1303,0.0159,-0.0154,0.0659,0
5263254,-0.2992,5.4337,-60.1289,0.0198,-0.0031,0.0536,0
5263421,-0.2991,5.4335,-60.1673,0.0027,-0.0013,0.0622,0
5263588,-0.2987,5.4338,-60.1964,-0.0039,0.0126,0.0662,0
5263754,-0.2991,5.4343,-60.2129,-0.0012,-0.0117,0.0415,0
5263921,-0.3001,5.4342,-60.2298,0.0015,-0.0011,0.0566,0
5264088,-0.2993,5.4336,-60.2328,-0.0071,-0.0024,0.0471,0
5264254,-0.2991,5.4318,-60.2343,0.0051,0.0079,0.0430,0
5264421,-0.2993,5.4321,-60.2421,0.0063,0.0123,0.0745,0
5264588,-0.3007,5.4313,-60.2506,0.0084,-0.0159,0.0521,0
5264754,-0.3006,5.4325,-60.2545,0.0077,-0.0159,0.0569,0
5264921,-0.3011,5.4315,-60.2571,-0.0012,-0.0154,0.0502,0
5265088,-0.3020,5.4297,-60.2629,0.0000,0.0027,0.0546,0
5265254,-0.3026,5.4290,-60.2660,-0.0005,0.0071,0.0498,0
5265421,-0.3025,5.4290,-60.2682,0.0057,-0.0057,0.0474,0
5265588,-0.3036,5.4292,-60.2702,0.0043,0.0082,0.0618,0
5265754,-0.3037,5.4299,-60.2763,0.0060,0.0110,0.0655,0
5265921,-0.3025,5.4298,-60.2797,-0.0075,0.0021,0.0577,0
5266088,-0.3022,5.4305,-60.2831,0.0007,-0.0099,0.0684,0
5266254,-0.3023,5.4297,-60.2911,-0.0009,-0.0073,0.0644,0
5266421,-0.3024,5.4304,-60.2967,0.0023,-0.0121,0.0495,0
5266588,-0.3025,5.4308,-60.3018,0.0112,-0.0022,0.0717,0
5266754,-0.3022,5.4321,-60.3057,0.0105,-0.0025,0.0619,0
5266921,-0.3026,5.4330,-60.3109,0.0114,-0.0072,0.0491,0
5267088,-0.3018,5.4320,-60.3169,0.0019,-0.0107,0.0472,0
5267254,-0.3026,5.4327,-60.3206,-0.0047,0.0018,0.0533,0
5267421,-0.3020,5.4325,-60.3253,-0.0035,0.0039,0.0587,0
5267588,-0.3030,5.4329,-60.3303,-0.0077,0.0149,0.0413,0
5267754,-0.3033,5.4319,-60.3345,0.0019,0.0187,0.0632,0
5267921,-0.3035,5.4329,-60.3373,0.0007,0.0105,0.0585,0
5268088,-0.3045,5.4337,-60.3407,0.0185,-0.0078,0.0367,0
5268254,-0.3045,5.4324,-60.3439,0.0100,-0.0008,0.0539,0
5268421,-0.3054,5.4340,-60.3467,-0.0144,0.0060,0.0556,0
5268588,-0.3068,5.4352,-60.3495,0.0011,-0.0066,0.0433,0
5268755,-0.3067,5.4346,-60.3551,-0.0050,0.0183,0.0484,0
5268921,-0.3071,5.4329,-60.3563,0.0000,-0.0010,0.0623,0
5269088,-0.3071,5.4326,-60.3598,0.0127,0.0139,0.0462,0
5269255,-0.3063,5.4322,-60.3613,0.0003,-0.0019,0.0489,0
5269421,-0.3086,5.4370,-60.3631,0.0167,-0.0221,-0.0252,0
5269588,-0.3096,5.4307,-60.3677,-0.0002,-0.0177,0.1684,0
5269755,-0.3083,5.4369,-60.3700,-0.0266,0.0318,-0.0444,0
5269921,-0.3111,5.4419,-60.3728,0.0212,-0.0030,0.1104,0
5270088,-0.3082,5.4329,-60.3757,-0.0264,0.0109,0.0156,0
5270255,-0.3093,5.4421,-60.3807,0.0058,-0.0110,0.0699,0
5270421,-0.3092,5.4408,-60.3848,0.0275,-0.0026,0.0446,0
5270588,-0.3093,5.4415,-60.3861,0.0329,0.0208,0.0508,0
5270755,-0.3090,5.4385,-60.3887,0.0383,0.0120,0.0823,0
5270921,-0.3097,5.4368,-60.3897,-0.0082,-0.0106,0.0349,0
5271088,-0.3082,5.4363,-60.3916,-0.0126,-0.0339,0.0570,0
5271255,-0.3077,5.4352,-60.3938,-0.0267,-0.0048,0.0544,0
5271421,-0.3091,5.4337,-60.3968,-0.0101,-0.0069,0.0573,0
5271588,-0.3075,5.4312,-60.3976,0.0122,0.0070,0.0431,0
5271755,-0.3072,5.4308,-60.4048,0.0214,-0.0175,0.0548,0
5271921,-0.3069,5.4320,-60.4087,0.0151,-0.0090,0.0556,0
5272088,-0.3077,5.4329,-60.4121,-0.0093,0.0248,0.0672,0
5272255,-0.3054,5.4331,-60.4146,-0.0190,0.0290,0.0530,0
5272421,-0.3036,5.4329,-60.4174,0.0023,-0.0118,0.0540,0
5272588,-0.3022,5.4341,-60.4180,0.0101,-0.0328,0.0434,0
5272755,-0.3022,5.4342,-60.4204,0.0118,-0.0069,0.0694,0
5272921,-0.3030,5.4360,-60.4253,0.0191,0.0173,0.0533,0
5273088,-0.3038,5.4386,-60.4300,0.0236,0.0062,0.0809,0
5273255,-0.3038,5.4378,-60.4322,-0.0143,-0.0094,0.0550,0
