DeviceTag: Xsens DOT6E,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-12 13:10:39.562,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
36932734,0.4455,-0.0148,-0.0171,-0.8950,0.0064,0.0020,0.0724,0
36933067,0.4454,-0.0148,-0.0171,-0.8950,0.0046,-0.0022,0.0871,0
36933400,0.4454,-0.0148,-0.0171,-0.8950,-0.0020,-0.0008,0.0743,0
36933734,0.4454,-0.0148,-0.0171,-0.8950,0.0035,-0.0006,0.0827,0
36934067,0.4454,-0.0148,-0.0171,-0.8950,0.0006,-0.0188,0.0772,0
36934400,0.4454,-0.0148,-0.0171,-0.8950,-0.0010,0.0009,0.0806,0
36934734,0.4454,-0.0148,-0.0171,-0.8950,0.0088,0.0036,0.0696,0
36935067,0.4454,-0.0148,-0.0171,-0.8950,-0.0237,-0.0077,0.0846,0
36935400,0.4454,-0.0148,-0.0171,-0.8950,-0.0071,0.0055,0.0778,0
36935734,0.4454,-0.0148,-0.0171,-0.8950,-0.0006,-0.0048,0.0769,0
36936067,0.4454,-0.0148,-0.0171,-0.8950,-0.0020,0.0039,0.0869,0
36936400,0.4454,-0.0148,-0.0171,-0.8951,0.0069,-0.0059,0.0792,0
36936734,0.4454,-0.0148,-0.0171,-0.8951,-0.0011,-0.0019,0.0931,0
36937067,0.4454,-0.0148,-0.0171,-0.8950,-0.0009,-0.0049,0.0815,0
36937400,0.4454,-0.0148,-0.0171,-0.8951,-0.0022,-0.0008,0.0867,0
36937734,0.4454,-0.0148,-0.0171,-0.8951,0.0023,-0.0217,0.0744,0
36938067,0.4453,-0.0148,-0.0171,-0.8951,-0.0103,0.0030,0.0563,0
36938400,0.4453,-0.0148,-0.0171,-0.8951,-0.0086,-0.0211,0.0904,0
36938734,0.4453,-0.0148,-0.0171,-0.8951,-0.0045,-0.0042,0.0793,0
36939067,0.4453,-0.0148,-0.0171,-0.8951,-0.0139,-0.0163,0.0879,0
36939400,0.4453,-0.0148,-0.0171,-0.8951,0.0029,0.0091,0.0735,0
36939734,0.4453,-0.0148,-0.0171,-0.8951,0.0018,-0.0004,0.0803,0
36940067,0.4453,-0.0148,-0.0171,-0.8951,0.0152,0.0110,0.0914,0
36940400,0.4452,-0.0148,-0.0171,-0.8951,-0.0075,-0.0070,0.0883,0
36940734,0.4452,-0.0148,-0.0171,-0.8951,-0.0116,-0.0130,0.0959,0
36941067,0.4452,-0.0148,-0.0171,-0.8951,0.0042,-0.0112,0.0863,0
36941400,0.4452,-0.0148,-0.0171,-0.8951,-0.0158,0.0028,0.0783,0
36941734,0.4452,-0.0148,-0.0171,-0.8951,0.0038,0.0008,0.1013,0
36942067,0.4452,-0.0148,-0.0171,-0.8952,-0.0148,0.0040,0.0719,0
36942400,0.4452,-0.0148,-0.0171,-0.8951,0.0041,-0.0027,0.1031,0
36942734,0.4452,-0.0148,-0.0171,-0.8952,0.0034,-0.0089,0.0860,0
36943067,0.4452,-0.0148,-0.0171,-0.8952,0.0021,-0.0086,0.0789,0
36943400,0.4452,-0.0148,-0.0171,-0.8952,0.0002,-0.0060,0.0970,0
36943734,0.4452,-0.0148,-0.0171,-0.8952,0.0232,0.0065,0.0702,0
36944067,0.4451,-0.0148,-0.0171,-0.8952,0.0164,-0.0101,0.0805,0
36944400,0.4451,-0.0148,-0.0171,-0.8952,0.0101,-0.0012,0.0812,0
36944734,0.4452,-0.0148,-0.0171,-0.8952,-0.0055,-0.0062,0.0810,0
36945067,0.4452,-0.0148,-0.0171,-0.8952,-0.0014,0.0084,0.0801,0
36945400,0.4451,-0.0148,-0.0171,-0.8952,-0.0021,0.0071,0.0913,0
36945734,0.4451,-0.0148,-0.0171,-0.8952,-0.0117,-0.0173,0.0905,0
36946067,0.4451,-0.0148,-0.0171,-0.8952,-0.0037,-0.0107,0.0755,0
36946400,0.4451,-0.0148,-0.0171,-0.8952,0.0012,-0.0122,0.0829,0
36946734,0.4451,-0.0148,-0.0171,-0.8952,-0.0087,-0.0024,0.0829,0
36947067,0.4451,-0.0148,-0.0171,-0.8952,-0.0159,0.0071,0.0866,0
36947400,0.4451,-0.0148,-0.0171,-0.8952,0.0099,-0.0025,0.0954,0
36947734,0.4451,-0.0148,-0.0171,-0.8952,0.0130,-0.0041,0.0791,0
36948067,0.4450,-0.0148,-0.0171,-0.8952,0.0017,0.0064,0.0762,0
36948401,0.4450,-0.0148,-0.0171,-0.8952,-0.0053,0.0108,0.0846,0
36948734,0.4450,-0.0148,-0.0171,-0.8952,0.0093,-0.0150,0.0851,0
36949067,0.4450,-0.0148,-0.0171,-0.8953,0.0033,0.0042,0.0766,0
